symbol,exchange,date,open,high,low,close,volume
BAC,XNYS,2025-07-02T00:00:00+00:00,48.36,48.73,48.06,48.71,48003612
BAC,XNYS,2025-07-03T00:00:00+00:00,48.945,49.305,48.81,48.93,21620278
BAC,XNYS,2025-07-07T00:00:00+00:00,48.735,49.21,48.365,48.66,35567880
BAC,XNYS,2025-07-08T00:00:00+00:00,47.5,47.79,46.76,47.15,88086497
BAC,XNYS,2025-07-09T00:00:00+00:00,47.16,47.45,46.71,46.84,46227855
BAC,XNYS,2025-07-10T00:00:00+00:00,46.9,47.22,46.78,46.97,44224992
BAC,XNYS,2025-07-11T00:00:00+00:00,46.64,46.81,46.25,46.73,31653005
BAC,XNYS,2025-07-14T00:00:00+00:00,46.81,47.07,46.55,47.07,36381172
BAC,XNYS,2025-07-15T00:00:00+00:00,46.88,47.01,45.95,46.15,55144992
BAC,XNYS,2025-07-16T00:00:00+00:00,46.25,46.56,45.01,46.03,61296628
BAC,XNYS,2025-07-17T00:00:00+00:00,45.635,47.22,45.44,47.02,56480729
BAC,XNYS,2025-07-18T00:00:00+00:00,47.01,47.38,46.9,47.32,48314188
BAC,XNYS,2025-07-21T00:00:00+00:00,47.54,48.04,47.2,47.48,32199673
BAC,XNYS,2025-07-22T00:00:00+00:00,47.62,48.17,47.46,47.77,34749381
BAC,XNYS,2025-07-23T00:00:00+00:00,48.02,48.305,47.805,48.14,31380097
BAC,XNYS,2025-07-24T00:00:00+00:00,48.45,49.0,48.21,48.39,42967619
BAC,XNYS,2025-07-25T00:00:00+00:00,48.39,48.55,47.935,48.45,24461228
